,importance-1,importance-2,importance-3,importance-4,importance-5,average
kurtosis-3,0.0,0.0,0.0,0.0,0.0,0.0
kurtosis-4,0.0,0.0,0.0,0.0,0.090265036,0.018053006
contrast-1,0.0,0.13205586,0.15494277,0.11007005,0.048900872,0.08919391
contrast-4,0.020710194,0.0,0.112119034,0.0,0.121498175,0.050865483
skewness-6,0.0,0.0,0.0,0.10806743,0.0155550875,0.024724504
contrast-6,0.2514086,0.11897454,0.13457133,0.06197793,0.10652089,0.13469066
homogeneity-6,0.1823767,0.12994199,0.0,0.108333826,0.04509274,0.09314905
mean-6,0.0,0.0,0.10012608,0.0,0.08198349,0.036421914
ASM-6,0.0,0.08887864,0.12040724,0.0,0.05342954,0.052543085
ASM-4,0.0,0.0921821,0.0,0.0,0.096418284,0.037720077
correlation-1,0.014694627,0.0,0.06732051,0.1290367,0.0,0.042210367
ASM-5,0.0,0.15240109,0.0,0.11382937,0.07607981,0.06846206
skewness-3,0.18916695,0.07048608,0.15553713,0.11025406,0.085086055,0.12210605
mean-4,0.17597088,0.107826866,0.0,0.108026594,0.08040629,0.09444612
contrast-7,0.16567202,0.10725286,0.15497586,0.1504041,0.09876374,0.13541372
