,importance-1,importance-2,importance-3,importance-4,importance-5,average
ASM-7,0.0,0.06920218,0.0,0.0,0.0,0.013840435
ASM-6,0.1039034,0.0,0.0,0.0,0.12562823,0.045906328
correlation-6,0.123332,0.10215403,0.0061605447,0.0,0.0,0.046329316
correlation-4,0.10090888,0.09224233,0.086939454,0.13964735,0.12883703,0.10971501
mean-6,0.0,0.04717497,0.07452299,0.0,0.10325517,0.044990625
kurtosis-7,0.0,0.0,0.086096145,0.0,0.043835703,0.02598637
kurtosis-3,0.034103356,0.08628411,0.07933621,0.14882852,0.0,0.06971044
homogeneity-3,0.11844034,0.082451195,0.12824754,0.040996183,0.0,0.07402705
contrast-4,0.1361412,0.014218101,0.025579697,0.17600949,0.0,0.0703897
variance-5,0.0,0.0,0.02964642,0.0,0.0,0.0059292843
contrast-6,0.0,0.10100229,0.11541036,0.1717857,0.22168072,0.12197582
contrast-3,0.0,0.0802336,0.10811437,0.0,0.163278,0.070325196
kurtosis-5,0.11823881,0.12468054,0.03840564,0.0,0.0,0.056264997
ASM-5,0.13335504,0.09113588,0.11437734,0.15415569,0.0,0.09860478
contrast-7,0.13157699,0.10922078,0.1071633,0.168577,0.21348509,0.14600463
